mu_g_ei,seed,autocorr_peak,xcorr_peak,coherence_peak,lagged_lambda,lagged_freq_peak_hz
0.01,0.0,0.938507813574359,0.5469791187669155,0.8649847468332561,1.0,3.5
0.01,1.0,0.940064536788392,0.5531303307069105,0.8633704014370317,1.0,3.5
0.01,2.0,0.9397162220190043,0.5484631797648362,0.8645740264407326,1.0,3.5
0.05500000000000001,0.0,0.1584930531005345,0.11723596021460071,0.6565613468148239,1.0,3.5
0.05500000000000001,1.0,0.14016090643936932,0.1095066739621374,0.7338403406005566,1.0,3.5
0.05500000000000001,2.0,0.18189607901479815,0.10934329884245418,0.733094527058444,1.0,3.5
0.1,0.0,0.21496458978112745,0.06613042208928793,0.33224595633396353,1.0,3.5
0.1,1.0,0.18552769421509407,0.027725206254147663,0.12072644156373034,1.0,3.5
0.1,2.0,0.29366571021888654,0.058441693217979686,0.16994677963617555,1.0,3.5
