scan_value,layer,corr,rmse,lag_ms,gain_ratio
0.020000000,E1,0.762157225,0.314112943,15.000000000,0.638247604
0.020000000,E2,0.586539819,0.494930430,0.000000000,0.572615976
0.020000000,E3,0.000000000,0.612397622,0.000000000,0.000000000
0.030000000,E1,0.762157225,0.314112943,15.000000000,0.638247604
0.030000000,E2,0.774832953,0.389775396,10.000000000,0.683262072
0.030000000,E3,0.587033975,0.492088946,5.000000000,0.582390196
0.040000000,E1,0.762157225,0.314112943,15.000000000,0.638247604
0.040000000,E2,0.796558494,0.348897833,5.000000000,0.755069635
0.040000000,E3,0.792209729,0.355573108,0.000000000,0.767206261
0.050000000,E1,0.762157225,0.314112943,15.000000000,0.638247604
0.050000000,E2,0.761670364,0.316605175,15.000000000,0.800896383
0.050000000,E3,0.700222063,0.330749355,25.000000000,0.812007675
0.060000000,E1,0.762157225,0.314112943,15.000000000,0.638247604
0.060000000,E2,0.735687191,0.312689999,20.000000000,0.823840886
0.060000000,E3,0.712217096,0.327380786,25.000000000,0.820457024
0.070000000,E1,0.762157225,0.314112943,15.000000000,0.638247604
0.070000000,E2,0.739058815,0.303348599,15.000000000,0.777618521
0.070000000,E3,0.684595319,0.301703507,5.000000000,0.817143491
0.080000000,E1,0.762157225,0.314112943,15.000000000,0.638247604
0.080000000,E2,0.722208012,0.298548446,10.000000000,0.777438182
0.080000000,E3,0.678553318,0.303115801,5.000000000,0.812980216
0.090000000,E1,0.762157225,0.314112943,15.000000000,0.638247604
0.090000000,E2,0.731008249,0.300615718,10.000000000,0.771147495
0.090000000,E3,0.674080674,0.304687618,5.000000000,0.814301202
0.100000000,E1,0.762157225,0.314112943,15.000000000,0.638247604
0.100000000,E2,0.722864247,0.303501873,10.000000000,0.770556443
0.100000000,E3,0.680365296,0.302596608,5.000000000,0.799532468
